,Artist,Streams,Daily,As lead,Solo,As Feature
205,Michael Bublé,8261.2,2.113,7894.0,6824.2,367.2
206,Meghan Trainor,8239.5,3.272,6655.6,5284.1,1583.9
207,Ne-Yo,8217.9,4.692,4016.6,3517.3,4201.4
208,Frank Sinatra,8201.9,3.374,8000.8,6329.3,201.1
209,Meek Mill,8196.5,2.165,6021.7,1642.8,2174.7
210,The Rolling Stones,8168.3,4.452,8155.3,8029.9,13.0
211,Megan Thee Stallion,8164.2,3.575,4810.6,2880.5,3353.6
212,Reik,8159.2,3.719,6841.1,3310.0,1318.1
213,Gorillaz,8153.6,4.229,8151.7,5130.6,1.9
214,Morat,8130.8,6.121,6593.9,4742.0,1536.9
215,Christian Nodal,8105.9,5.42,5725.7,5028.5,2380.2
216,Miguel,8067.3,4.891,4372.1,2944.6,3695.2
217,Bryson Tiller,8020.2,5.562,5148.9,4928.2,2871.4
218,Yandel,8012.0,4.63,3935.4,856.2,4076.6
219,Florida Georgia Line,8010.6,2.123,5183.6,3743.1,2827.0
220,Alessia Cara,8004.4,2.089,5046.7,4881.0,2957.7
221,Banda MS de Sergio Lizárraga,7976.0,4.284,7386.7,6927.1,589.3
222,Clean Bandit,7940.6,2.148,7715.4,68.5,225.2
223,Mariah Carey,7904.3,3.876,7206.8,5867.8,697.5
224,Junior H,7870.5,31.955,5365.2,3397.0,2505.3
225,Jack Harlow,7869.6,10.563,5338.1,3190.6,2531.5
226,Kali Uchis,7828.5,9.359,4450.0,3207.4,3378.5
227,Hozier,7766.0,6.198,7325.7,7133.2,440.2
228,Russ,7721.6,2.925,7449.5,6480.4,272.1
229,Labrinth,7674.4,4.755,4909.7,3801.5,2764.7
230,Gusttavo Lima,7634.7,5.269,6308.1,5771.9,1326.6
231,Darell,7611.3,2.841,889.4,165.9,6721.9
232,Jeremih,7563.5,2.069,3922.3,1532.2,3641.2
233,Luis Fonsi,7556.3,2.001,6694.3,1035.4,862.0
234,Jonas Blue,7521.6,2.395,6225.4,31.5,1296.2
235,Alicia Keys,7454.7,3.618,5406.2,4800.9,2048.4
236,Radiohead,7359.5,5.369,7359.5,7299.7,0.0
237,Lorde,7357.0,2.998,7055.0,6735.2,302.0
238,Julia Michaels,7290.9,2.295,3451.8,2531.1,3839.1
239,YG,7286.6,1.846,3420.6,877.9,3866.0
240,Melanie Martinez,7247.5,4.899,7247.5,7133.2,0.0
241,Don Toliver,7234.5,6.095,3658.0,2640.0,3576.5
